product_id,product_name,main_category,sub_category,ratings,no_of_ratings,price
9030ab71-bf70-4f16-8720-53b65b860d48,ALIJA®️ Solid Metal Bookcase/Library/Book Shelf/Rack (48 x 23 x 12 Inch) with 4 Shelves (Black and Ivory),home & kitchen,Furniture,5.0,1,"฿7,999"
d118e718-cd48-4fd2-a150-775f6ee65341,CMerchants 5 Layer Black Shelf Book Cabinet (6 Layer),home & kitchen,Furniture,,,"฿1,999"
bed66a39-cca4-4f76-a46f-ccb4eba05e11,"Decor Style Bean Bag with Relaxing FootstRest with Filled Beans |Size- XXL, Brown Color |",home & kitchen,Furniture,,,"฿4,499"
89e8d586-a777-4a01-a6a6-ed92d2ef31aa,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X75K (Black) (2022 Model) | with Alexa Compatibility,"tv, audio & cameras",Televisions,4.7,"1,624","฿1,39,900"
ebd1cc6a-32d1-481d-8897-b92765b1d1da,"Cello Gym Star Stainless Steel Double Walled Water Bottle, (Hot and Cold, 650ml, Violet)",home & kitchen,Kitchen & Dining,4.1,152,฿975
4271e8f6-eddf-4ea9-aa6f-9bef90d64dbd,RAJ CHAIR Twin Castor Wheels Threaded Set of 5 pcs for revolving Chairs and Other revolving Products. 100% Nylon ABS Mater...,home & kitchen,Furniture,4.0,454,฿499
961a2137-6d52-4121-87a9-a93cf897f670,"Homescape Kids Sofa Cum Bed and Chair for Comfort (Foam,Cotton) (Pink , 0-2 Years)",home & kitchen,Furniture,3.7,192,"฿1,999"
f74f2d91-ef64-4b6a-b23f-6d0bcacd33c8,"Milton Galaxia Insulated Stainless Steel Casseroles, Set of 3, Silver",home & kitchen,Kitchen & Dining,3.8,5,"฿3,545"
3949fcb7-8cf2-4b2e-8ed2-90dea43b694b,Okayji Steel 52-Pieces Icing Nozzles Tips Nozzle Cake Decorating Set with Flower Nail & Coupler Cake Decoration,home & kitchen,Kitchen & Dining,4.2,9,฿699
f3d21df2-5e89-44db-a0b7-efac7b919466,"MEESA Windproof Platinum Series Jet Flame Blow Gun Thrower Torch Lighter Barbeque Lighter for Lighting Cigarette,Cigar,Hoo...",home & kitchen,Kitchen & Dining,3.4,11,฿999
8a018294-9a09-4885-b58e-bf1dec5d7e44,"BB DECOR CART Wall Mounted Wine Racks - Red Wine Bottle Display Holder, Metal Hanging Wine Rack Organizer for Beverages/Li...",home & kitchen,Furniture,2.7,6,฿999
6fc08c52-291a-483b-975b-9a4b8cbaf0e2,Kushuvi Cushion Filled Cover ( Trix ),home & kitchen,Furniture,4.0,276,฿299
